id,lkp_id,nama_kelas,link,peserta,lulusan,status,program_keterampilan
K-MOODLE-431,LKP-8080e577ce,“Practical Office Advance: Kuasai Skill Perkantoran Profesional di Era Digital”,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=431,2,0,Sudah Berjalan,
K-MOODLE-389,LKP-6824e93810,WEB APLIKASI TEPAT GUNA (Pelangi Nusa Jaya),https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=389,21,0,Sudah Berjalan,
K-MOODLE-364,LKP-dc7522e308,Videodroid sebagai Alternatif Pembuatan Video Pembelajaran,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=364,1,0,Sudah Berjalan,
K-MOODLE-366,LKP-3e4d40d48a,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=366,2,0,Sudah Berjalan,
K-MOODLE-590,LKP-950a5eb019,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=590,2,0,Sudah Berjalan,
K-MOODLE-365,LKP-454782b195,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=365,2,0,Sudah Berjalan,
K-MOODLE-1045,LKP-a9000f4ea2,kursusbaru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1045,2,0,Sudah Berjalan,
K-MOODLE-2029,LKP-da73316683,"Tata Busana, Menjahit Garmen LKP Novita",https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2029,1,0,Sudah Berjalan,
K-MOODLE-1261,LKP-d25107ef53,LKP English Young Generation,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1261,1,0,Sudah Berjalan,
K-MOODLE-2281,LKP-9f0ad22252,Desain Grafis Berbasis Artificial Intelligence (AI) : Menciptakan Desain Kreatif dengan Teknologi AI,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2281,3,0,Sudah Berjalan,
K-MOODLE-630,LKP-9f0ad22252,Teknik Elektronika Dasar,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=630,3,0,Sudah Berjalan,
K-MOODLE-1266,LKP-9c3ebcbd76,Tata Rias LKP LITA,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1266,2,0,Sudah Berjalan,
K-MOODLE-635,LKP-333a3ef30e,LKP Widyagama,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=635,2,0,Sudah Berjalan,
K-MOODLE-1638,LKP-045f45dc43,Bordir Kerancang dan Sulaman LKP HANDAYANI,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1638,2,0,Sudah Berjalan,
K-MOODLE-535,LKP-90dfe82ee6,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=535,3,0,Sudah Berjalan,
K-MOODLE-545,LKP-73c0080630,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=545,1,0,Sudah Berjalan,
K-MOODLE-1053,LKP-33e399c028,kursusbaru2 - Terracom,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1053,1,0,Sudah Berjalan,
K-MOODLE-610,LKP-33e399c028,MAHIR MENGOPERASIKAN APLIKASI PENGOLAH ANGKA / SPREADSHEET ( MS EXCEL ) -  Terracom,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=610,20,0,Sudah Berjalan,
